Left Pose	Combined Text	Left Text	Right Pose	Backgrounds	1039
silencing		He raises his hand to ask for silence.			
silencing		People are listening to his words.			
silencing		The critic has lost the chance to speak.			
silencing		This moment is very important.			
silencing		A quiet moment is needed.			
on treadmill		The person is running on a treadmill.			
on treadmill		They are exercising indoors.			
on treadmill		The treadmill is moving.			
on treadmill		The runner looks focused.			
on treadmill		They are wearing gym clothes.			
on treadmill		The person is sweating.			
on treadmill		Running is good for health.			
on treadmill		The treadmill has a display screen.			
on treadmill		The runner is using headphones.			
on treadmill		This is a great way to stay fit.			
holding crow		The person is holding a crow.			
holding crow		The crow is black.			
holding crow		Crows are intelligent birds.			
holding crow		The person is feeding the crow.			
holding crow		The crow is looking at the food.			
holding crow		Crows can be friendly.			
holding crow		The person seems happy.			
holding crow		The crow is perched on the person's hand.			
holding crow		Birds can be pets.			
holding crow		Feeding birds is enjoyable.			
suspicious		The person looks nervous.			
suspicious		They are glancing around quickly.			
suspicious		Something seems off about their behavior.			
suspicious		They are hiding something.			
suspicious		The person is avoiding eye contact.			
suspicious		They are fidgeting with their hands.			
suspicious		There is a worried expression on their face.			
suspicious		They are trying to act casual.			
suspicious		It looks like they are covering up a secret.			
suspicious		The situation feels tense and suspicious.			
stacking		The person is carrying plates.			
stacking		They are stacking dishes carefully.			
stacking		Look at the balanced plates.			
stacking		The person is efficient in their task.			
stacking		They are collecting dishes from the table.			
stacking		The plates are clean and shiny.			
stacking		The person moves quickly.			
stacking		Stacking plates saves space.			
stacking		It is important to be careful with dishes.			
stacking		The person is a good helper in the kitchen.			
fighting with		The person is running fast.			
fighting with		They are ready for battle.			
fighting with		Their fists are swinging.			
fighting with		The background is chaotic.			
fighting with		They look determined and brave.			
fighting with		The ground is dusty from movement.			
fighting with		Other people are also in the fight.			
fighting with		The atmosphere is intense and exciting.			
fighting with		The person is focused on their goal.			
fighting with		This is a moment of action and courage.			
praising		The person is offering praise.			
praising		He is using a positive gesture.			
praising		She is showing appreciation.			
praising		The person is giving a thumbs up.			
praising		He is expressing agreement with others.			
praising		She is giving two thumbs up.			
praising		The person is acknowledging good work.			
praising		He is conveying words of encouragement.			
praising		She is expressing joy.			
praising		The person is giving positive energy.			
ironic		He is smiling, but his eyes tell a different story.			
ironic		She uses a sarcastic tone when she speaks.			
ironic		This person is hiding their true feelings behind a mask.			
ironic		His laughter feels ironic in this situation.			
ironic		She is poking fun at the serious topic.			
ironic		He seems like a hypocrite for saying one thing and doing another.			
ironic		Her expression is full of mockery.			
ironic		He makes jokes, but they have a deeper meaning.			
ironic		She pretends to agree, but she is being sarcastic.			
ironic		His smile hides a critical view of the situation.			
disagreeing		He is shaking his head.			
disagreeing		She looks skeptical.			
disagreeing		They do not agree.			
disagreeing		He is expressing doubt.			
disagreeing		She is frowning slightly.			
disagreeing		They are not convinced.			
disagreeing		He disagrees with the idea.			
disagreeing		She is showing uncertainty.			
disagreeing		They look unsure about it.			
disagreeing		He is questioning the statement.			
visiting		The person is arriving at the airport.			
visiting		They are carrying a suitcase.			
visiting		The suitcase is colorful.			
visiting		The person looks happy.			
visiting		They are going on vacation.			
visiting		The airport is busy.			
visiting		There are many travelers around.			
visiting		The person is excited to travel.			
visiting		They will check in soon.			
visiting		The suitcase has wheels for easy carrying.			
blackbag		The person is looking into the abyss.			
blackbag		The abyss seems deep and dark.			
blackbag		They hold a black bag tightly.			
blackbag		The bag appears heavy and mysterious.			
blackbag		The person's expression is serious.			
blackbag		There is a sense of curiosity in their gaze.			
blackbag		The surrounding area is shadowy.			
blackbag		The abyss represents the unknown.			
blackbag		The black bag may contain secrets.			
blackbag		This moment feels intense and contemplative.			
pointing with umbrella		The person is holding an umbrella.			
pointing with umbrella		The umbrella is open.			
pointing with umbrella		The person is pointing with the umbrella.			
pointing with umbrella		The person is waving the umbrella.			
pointing with umbrella		The umbrella is colorful.			
pointing with umbrella		The person is smiling.			
pointing with umbrella		It looks like it might rain.			
pointing with umbrella		The sky is cloudy.			
pointing with umbrella		The person is wearing a raincoat.			
pointing with umbrella		The umbrella is pointing upwards.			
weighing		The person is thinking carefully.			
weighing		They are weighing their options.			
weighing		Choices can be difficult.			
weighing		It is important to consider alternatives.			
weighing		The person looks focused.			
weighing		They are making a decision.			
weighing		Each option has pros and cons.			
weighing		The environment is calm and quiet.			
weighing		Taking time to decide is wise.			
weighing		They want to choose the best path.			
preying		The person looks very sneaky.			
preying		They are hiding in the shadows.			
preying		Their eyes are focused on the victim.			
preying		The victim seems unaware of the danger.			
preying		The atmosphere feels tense and scary.			
preying		The person is ready to pounce.			
preying		There is a sense of fear in the air.			
preying		The victim might be in trouble.			
preying		The predator is patient and quiet.			
preying		This scene shows a moment of suspense.			
presenting data		The person is standing in front of a screen.			
presenting data		They are holding a microphone.			
presenting data		There are charts and graphs on the screen.			
presenting data		The audience is listening carefully.			
presenting data		The presenter is smiling.			
presenting data		They are pointing at the data.			
presenting data		The room is well-lit.			
presenting data		There are notes on the table.			
presenting data		The audience is taking notes.			
presenting data		The presentation is about important information.			
serving		The person is serving food.			
serving		They work at a fast food restaurant.			
serving		The restaurant has a bright sign.			
serving		Customers are waiting in line.			
serving		The menu is displayed above the counter.			
serving		The worker is wearing a uniform.			
serving		They are smiling at the customers.			
serving		The kitchen is busy with activity.			
serving		The worker takes orders from customers.			
serving		Fast food is quick and convenient.			
red light		He is standing in front of the traffic light.			
red light		The red light is on.			
red light		He is losing his patience.			
red light		There are many cars around.			
red light		He finds waiting boring.			
red light		He hopes the signal will change.			
red light		His expression is anxious.			
red light		He is checking his phone.			
red light		He wants to go quickly.			
red light		He is looking at the other drivers.			
reacting		The person is mixing chemicals.			
reacting		They are wearing safety goggles.			
reacting		The table is covered with lab equipment.			
reacting		There are colorful liquids in the beakers.			
reacting		The reaction is creating bubbles.			
reacting		The person looks focused and careful.			
reacting		They are using a stirrer to mix the substances.			
reacting		There is a flame under one of the beakers.			
reacting		The experiment could produce gas.			
reacting		Safety is important in the lab.			
cheating		He is holding extra cards.			
cheating		She is looking at her opponent.			
cheating		He has a sly smile.			
cheating		The table is covered with cards.			
cheating		She is hiding a card up her sleeve.			
cheating		He is watching closely for reactions.			
cheating		The game is intense and competitive.			
cheating		She plays with confidence.			
cheating		He is pretending to shuffle the cards.			
cheating		The other players seem suspicious.			
withholding		The person is refusing to pay.			
withholding		They are shaking their head.			
withholding		The money is on the table.			
withholding		The person looks unhappy.			
withholding		They do not want to accept the payment.			
withholding		The other person seems surprised.			
withholding		There is a disagreement happening.			
withholding		The atmosphere feels tense.			
withholding		The refusal is clear.			
withholding		Communication is important in this situation.			
put out		How about this suggestion?			
put out		I think this idea is good.			
put out		Let's get straight to the point.			
put out		What do you think about this offer?			
put out		I am a bit skeptical.			
put out		This could be a good opportunity.			
put out		Please listen to the suggestion.			
put out		Shall we talk more about that?			
put out		I think this offer is feasible.			
put out		We definitely need to consider this point.			
unconscious		The person is lying on the floor.			
unconscious		He seems to be losing consciousness.			
unconscious		People around are worried.			
unconscious		His face looks pale.			
unconscious		He seems to be weak.			
unconscious		Someone is calling for help.			
unconscious		This situation looks very serious.			
unconscious		He is not getting up.			
unconscious		He seems to need first aid.			
unconscious		Everyone is concerned about his condition.			
logical		This person is thinking carefully.			
logical		They are analyzing the situation.			
logical		Numbers are important to them.			
logical		They enjoy solving problems.			
logical		Logic guides their decisions.			
logical		They are focused on details.			
logical		This person likes to plan ahead.			
logical		They are evaluating different options.			
logical		Their mind is sharp and clear.			
logical		They find patterns in data.			
painting		The person is painting a picture.			
painting		They are using a brush.			
painting		The canvas is on an easel.			
painting		The colors are bright and vivid.			
painting		The artist is focused and concentrated.			
painting		They mix colors on a palette.			
painting		The background is filled with art supplies.			
painting		The painting is a beautiful landscape.			
painting		The artist is standing while working.			
painting		Creativity flows from their hands.			
leading		The person is guiding the sheep.			
leading		There are many sheep in the flock.			
leading		The sheep are white and fluffy.			
leading		The shepherd is walking slowly.			
leading		The sheep follow the shepherd.			
leading		The grass is green and fresh.			
leading		The sky is clear and blue.			
leading		The shepherd has a staff in hand.			
leading		The flock is moving together.			
leading		The scene is peaceful and calm.			
empathetic		This person is listening carefully.			
empathetic		They have a kind expression.			
empathetic		Their eyes show understanding.			
empathetic		They are nodding to show support.			
empathetic		This person is comforting someone.			
empathetic		They are offering a helping hand.			
empathetic		Their body language is open and welcoming.			
empathetic		They seem to care deeply.			
empathetic		They are sharing a moment of connection.			
empathetic		This person is showing compassion.			
nude		This picture is a nude photo.			
nude		The model is posing.			
nude		She looks confident.			
nude		The background is simple.			
nude		The lighting is soft.			
nude		Her expression is attractive.			
nude		This photo is artistic.			
nude		Nude photos often express beauty.			
nude		The pose is natural.			
nude		This photo could be featured in a fashion magazine.			
learning		The person is taking a test.			
learning		They are sitting at a desk.			
learning		The test is on the table.			
learning		The person is focused on their work.			
learning		They have a pencil in their hand.			
learning		There are books around them.			
learning		The room is quiet.			
learning		The clock is ticking.			
learning		They are writing answers.			
learning		The test is important for their grades.			
toasting		He is raising his glass.			
toasting		He is making a toast.			
toasting		Everyone is watching him.			
toasting		He is smiling happily.			
toasting		The room is filled with joy.			
toasting		Friends are gathered around.			
toasting		He is celebrating a special moment.			
toasting		His glass is full of drink.			
toasting		People are clapping for him.			
toasting		Cheers to good times!			
embracing		The person is giving a hug.			
embracing		This is a warm embrace.			
embracing		A bear hug is very tight.			
embracing		Hugs can show love.			
embracing		The person smiles while hugging.			
embracing		Hugs make people feel happy.			
embracing		The arms are wrapped around someone.			
embracing		Hugs can comfort friends.			
embracing		A hug can be gentle or strong.			
embracing		This moment feels special.			
telephoning		The person is holding a phone.			
telephoning		They are answering a call.			
telephoning		The phone is ringing.			
telephoning		The person looks happy.			
telephoning		They are speaking clearly.			
telephoning		The conversation is important.			
telephoning		The person is listening carefully.			
telephoning		They are using a headset.			
telephoning		The background is busy.			
telephoning		The call might be urgent.			
rent a scared mob		This person is smiling.			
rent a scared mob		They have short hair.			
rent a scared mob		The person is wearing a blue shirt.			
rent a scared mob		They are standing in a park.			
rent a scared mob		There are trees in the background.			
rent a scared mob		The sky is clear and sunny.			
rent a scared mob		The person looks happy.			
rent a scared mob		They are holding a book.			
rent a scared mob		There are flowers nearby.			
rent a scared mob		This person seems relaxed.			
shivering		The person looks cold.			
shivering		They are shivering.			
shivering		Their teeth are chattering.			
shivering		They are wearing a thick coat.			
shivering		The weather is chilly.			
shivering		They need a warm drink.			
shivering		Their nose is red.			
shivering		They might be getting sick.			
shivering		The person looks uncomfortable.			
shivering		They should find a warm place.			
handshaking		This person is offering a handshake.			
handshaking		A handshake is a common greeting.			
handshaking		They are smiling while shaking hands.			
handshaking		Handshakes can show respect.			
handshaking		The person’s hand is open.			
handshaking		This gesture means hello or nice to meet you.			
handshaking		They are making eye contact.			
handshaking		A firm handshake is confident.			
handshaking		Handshakes can also mean agreement.			
handshaking		It's polite to shake hands when you meet someone.			
pitching		The person is throwing a ball.			
pitching		They are on the baseball field.			
pitching		The pitcher is ready to pitch.			
pitching		The ball is in their hand.			
pitching		They have a focused expression.			
pitching		The crowd is watching closely.			
pitching		The pitcher steps back.			
pitching		The ball is flying through the air.			
pitching		The batter is preparing to hit.			
pitching		This is an exciting moment in the game.			
drilling		This person is drilling for oil.			
drilling		Oil is an important resource.			
drilling		The drill goes down into the ground.			
drilling		They are digging deep to find oil.			
drilling		The machine makes noise.			
drilling		The worker wears safety equipment.			
drilling		This area has a lot of oil.			
drilling		This is the process of extracting oil.			
drilling		It is exciting when oil is discovered.			
drilling		Oil is used as fuel.			
rent a nude mob		This is a nudist colony.			
rent a nude mob		People here are not wearing clothes.			
rent a nude mob		Nudism promotes body positivity.			
rent a nude mob		Everyone is comfortable in their own skin.			
rent a nude mob		The atmosphere is relaxed and friendly.			
rent a nude mob		Many people enjoy sunbathing.			
rent a nude mob		There are rules about respect and privacy.			
rent a nude mob		Some activities include swimming and yoga.			
rent a nude mob		It is a place for socializing and connecting.			
rent a nude mob		Nudist colonies can be found in many countries.			
singing		The person is singing a song.			
singing		The person is holding a microphone.			
singing		The song is a joyful song.			
singing		The person has a happy expression.			
singing		They are singing at karaoke.			
singing		People around are listening.			
singing		The person has a good voice.			
singing		The music is playing loudly.			
singing		The person sings joyfully.			
singing		Everyone wants to sing along.			
styling		This person is a hairdresser.			
styling		She is cutting hair.			
styling		He is styling hair with a blow dryer.			
styling		They are working in a hair salon.			
styling		She is holding scissors.			
styling		He is trimming a customer's hair.			
styling		Hair is falling on the floor.			
styling		The hairdresser creates various styles.			
styling		The customer is sitting comfortably.			
styling		This is a very clean hair salon.			
charging		He is charging forward.			
charging		She looks very angry.			
charging		The person is yelling.			
charging		He is clenching his fists.			
charging		She is stomping her feet.			
charging		His face shows frustration.			
charging		She is pointing aggressively.			
charging		He seems ready to fight.			
charging		She has a fierce expression.			
charging		He is not backing down.			
hindering		That person is not participating.			
hindering		He is refusing.			
hindering		She does not want to go together.			
hindering		He is opposing.			
hindering		That person does not need help.			
hindering		She rejected the proposal.			
hindering		He is just watching.			
hindering		That person does not agree.			
hindering		She does not want to go out.			
hindering		He wants to be alone.			
playing game		This person is playing a video game.			
playing game		They are using a game controller.			
playing game		The game looks exciting.			
playing game		The screen shows colorful graphics.			
playing game		The player is focused on the game.			
playing game		They are pressing buttons on the controller.			
playing game		The game has many levels.			
playing game		The player might win a prize.			
playing game		Friends can join the game too.			
playing game		Playing video games is fun!			
mugging		The person looks aggressive.			
mugging		They are demanding money from the tourist.			
mugging		The tourist seems scared.			
mugging		The background shows a busy street.			
mugging		Other people are walking by.			
mugging		The mugger is pointing at the tourist.			
mugging		The tourist is holding their bag tightly.			
mugging		The situation looks dangerous.			
mugging		The mugger is wearing a hood.			
mugging		This is a typical scene of a robbery.			
campaigning against		This person is campaigning.			
campaigning against		He is opposing the incumbent candidate.			
campaigning against		He is running a negative campaign.			
campaigning against		His expression is serious.			
campaigning against		He is holding a sign in his hand.			
campaigning against		He is trying to convey a message to people.			
campaigning against		He is trying to gain support.			
campaigning against		There are many people in the background.			
campaigning against		This campaign is highly competitive.			
campaigning against		He is expressing his opinion strongly.			
suspecting		The person looks suspicious.			
suspecting		They are observing carefully.			
suspecting		Something feels off.			
suspecting		There is a hidden truth.			
suspecting		The person is alert.			
suspecting		They sense a problem.			
suspecting		Trust is fading away.			
suspecting		The atmosphere is tense.			
suspecting		A secret is being uncovered.			
suspecting		The person is on high alert.			
convincing		The person is making a strong argument.			
convincing		They are using facts to support their point.			
convincing		Their expression shows confidence.			
convincing		The audience is listening carefully.			
convincing		They are explaining their ideas clearly.			
convincing		The person gestures to emphasize their words.			
convincing		They are trying to persuade others.			
convincing		The discussion looks engaging and lively.			
convincing		Their body language is open and inviting.			
convincing		The person seems knowledgeable about the topic.			
opening box		The person is opening a box.			
opening box		The box looks mysterious.			
opening box		What is inside the box?			
opening box		The box is very old.			
opening box		The person is curious.			
opening box		This is like opening Pandora's box.			
opening box		Pandora's box holds secrets.			
opening box		The person looks excited.			
opening box		Be careful when opening the box.			
opening box		Surprises may come out of the box.			
centaur		This is a centaur.			
centaur		A centaur has a human upper body.			
centaur		The lower body is that of a horse.			
centaur		Centaurs are mythical creatures.			
centaur		They are often found in Greek mythology.			
centaur		Centaurs can run very fast.			
centaur		They are known for their strength.			
centaur		Some centaurs are wise and kind.			
centaur		Others can be wild and fierce.			
centaur		Centaurs represent a balance between man and nature.			
squirting		The person is holding a water pistol.			
squirting		Water is squirting from the toy.			
squirting		They are having fun in the sun.			
squirting		The water is making a big splash.			
squirting		Look at the mess they are making!			
squirting		The squirt gun is colorful and bright.			
squirting		They are playing with friends.			
squirting		It’s a hot day for a water fight.			
squirting		The water feels refreshing.			
squirting		Everyone is laughing and enjoying the game.			
calculating		This person is using a calculator.			
calculating		He is calculating some numbers.			
calculating		A calculator is a useful tool.			
calculating		He is trying to solve a problem.			
calculating		He is adding numbers.			
calculating		He is checking the calculation result.			
calculating		He is focused.			
calculating		A calculator helps with quick calculations.			
calculating		He seems to like math.			
calculating		This scene shows someone studying.			
spreading		The person is blowing on a dandelion.			
spreading		Dandelion seeds are flying in the air.			
spreading		The seeds look like tiny parachutes.			
spreading		It is a sunny day outside.			
spreading		The dandelion is white and fluffy.			
spreading		The person is smiling while blowing.			
spreading		The seeds will land on the ground.			
spreading		Dandelions grow in many places.			
spreading		The wind is helping the seeds spread.			
spreading		Soon, new dandelions will grow from the seeds.			
riding		The person is riding a horse.			
riding		The horse is galloping fast.			
riding		They are entering the fray.			
riding		The rider looks focused and determined.			
riding		The horse's mane is flowing in the wind.			
riding		They are competing in a horse race.			
riding		The crowd is cheering for the riders.			
riding		The rider holds the reins tightly.			
riding		The horse jumps over a hurdle.			
riding		It is an exciting moment in the race.			
bowing		This person is bowing.			
bowing		Bowing shows respect.			
bowing		In Korea, bowing is common.			
bowing		People bow to greet each other.			
bowing		A deep bow means deep respect.			
bowing		Bowing is important in many cultures.			
bowing		You can bow to say thank you.			
bowing		The person is bowing their head.			
bowing		Bowing can express humility.			
bowing		Always bow when meeting elders.			
goading		The person is waving a red rag.			
goading		The bull is looking at the red rag.			
goading		The person is goading the bull.			
goading		The bull seems excited.			
goading		The red rag is bright and colorful.			
goading		The person is standing confidently.			
goading		The bull is large and strong.			
goading		The scene looks intense.			
goading		The person wants to attract the bull's attention.			
goading		This is a traditional way to challenge a bull.			
building		The person is laying bricks.			
building		They are building a wall.			
building		The wall is made of bricks.			
building		The bricks are stacked neatly.			
building		The worker uses a trowel.			
building		The trowel spreads the mortar.			
building		Mortar holds the bricks together.			
building		The wall is getting taller.			
building		The worker is focused and careful.			
building		Building a wall takes skill and patience.			
going forward		The person is moving forward.			
going forward		They have a bright smile.			
going forward		Their eyes show determination.			
going forward		This person is confident.			
going forward		They are ready for new challenges.			
going forward		The future looks promising.			
going forward		They embrace change.			
going forward		Their posture is strong.			
going forward		This person inspires others.			
going forward		They believe in progress.			
voting against		This person is voting no.			
voting against		They are holding a ballot.			
voting against		The ballot shows a NO option.			
voting against		Their expression is serious.			
voting against		They are participating in a vote.			
voting against		Voting is important in democracy.			
voting against		This is a public decision.			
voting against		Many people will vote today.			
voting against		Every vote counts.			
voting against		They believe in their choice.			
guessing		He is taking a wild guess.			
guessing		She is flipping a coin.			
guessing		They are making a random decision.			
guessing		He is gambling everything on the toss of a coin.			
guessing		She feels uncertain about her choice.			
guessing		The coin is in the air.			
guessing		He hopes for a good outcome.			
guessing		She is excited about the result.			
guessing		They are waiting for the coin to land.			
guessing		This decision is based on chance.			
accusing		The person is making accusations.			
accusing		They are pointing the finger of blame.			
accusing		The expression looks serious.			
accusing		Legal consequences may follow.			
accusing		The person seems angry.			
accusing		There is a sense of urgency.			
accusing		They are addressing someone directly.			
accusing		The atmosphere feels tense.			
accusing		Communication is important in this situation.			
accusing		The person wants to be heard.			
surfing		The person is surfing a big wave.			
surfing		They are riding a surfboard.			
surfing		The wave is tall and powerful.			
surfing		The surfer looks excited.			
surfing		The ocean is blue and bright.			
surfing		The sun is shining in the sky.			
surfing		The surfer is balancing on the board.			
surfing		There are splashes of water around them.			
surfing		Surfing is a fun sport.			
surfing		Many people enjoy surfing at the beach.			
resigned		They seem to accept the situation.			
resigned		Their expression shows resignation.			
resigned		It looks like they are reflecting on their choices.			
resigned		They appear calm and composed.			
resigned		Acceptance can be a part of growth.			
resigned		Sometimes, letting go is necessary.			
resigned		They are facing reality with courage.			
resigned		It’s okay to feel disappointed.			
resigned		Acceptance can bring peace of mind.			
resigned		They are ready to move forward.			
diplomatic		This person is bowing politely.			
diplomatic		A bow shows respect in many cultures.			
diplomatic		Politeness is important in communication.			
diplomatic		A curtsey is a traditional greeting.			
diplomatic		Being diplomatic helps in resolving conflicts.			
diplomatic		A warm smile can make others feel welcome.			
diplomatic		Good manners create a positive impression.			
diplomatic		Saying thank you is a polite gesture.			
diplomatic		Listening attentively shows respect.			
diplomatic		Kind words can brighten someone's day.			
insisting		The person is making a strong point.			
insisting		They look very determined.			
insisting		Their expression shows confidence.			
insisting		They are pointing insistently.			
insisting		The debate seems intense.			
insisting		Their body language is emphatic.			
insisting		They are passionate about their opinion.			
insisting		The discussion is very engaging.			
insisting		They want to be understood clearly.			
insisting		Their determination is inspiring.			
experimenting		The person is conducting an experiment.			
experimenting		They are testing a new drug.			
experimenting		The experiment involves humans.			
experimenting		The researcher is drawing blood.			
experimenting		Safety is important in experiments.			
experimenting		The results will help many people.			
experimenting		The person wears gloves for protection.			
experimenting		They are focused on their work.			
experimenting		This is a medical study.			
experimenting		Data will be collected from the tests.			
sipping		The person is sipping a martini.			
sipping		They are making small talk at the party.			
sipping		There are many people around.			
sipping		The atmosphere is very enjoyable.			
sipping		Cocktails are placed on the table.			
sipping		The person is smiling.			
sipping		They are talking with friends.			
sipping		Music is playing in the background.			
sipping		People are greeting each other.			
sipping		This is a wonderful party venue.			
denouncing		The person looks very angry.			
denouncing		They are pointing at their rival.			
denouncing		Their face shows strong emotions.			
denouncing		It seems like they are declaring war.			
denouncing		The atmosphere feels tense and heated.			
denouncing		They are expressing their frustration clearly.			
denouncing		This moment captures a fierce conflict.			
denouncing		The person's body language is aggressive.			
denouncing		They are denouncing their opponent loudly.			
denouncing		The situation is filled with passion and intensity.			
fainting		The person looks very pale.			
fainting		They are losing balance.			
fainting		Their eyes are closing.			
fainting		The ground is getting closer.			
fainting		They feel dizzy and weak.			
fainting		Someone is reaching out to help.			
fainting		It seems they are scared.			
fainting		The environment is chaotic.			
fainting		There is a look of shock on their face.			
fainting		They need immediate assistance.			
recollecting		The person is deep in thought.			
recollecting		They are remembering a past event.			
recollecting		Their expression shows contemplation.			
recollecting		They are weighing their options carefully.			
recollecting		The decision is important to them.			
recollecting		They are considering the consequences.			
recollecting		Thoughts are swirling in their mind.			
recollecting		They are pondering their next steps.			
recollecting		Reflection can lead to clarity.			
recollecting		It’s good to think before acting.			
lawyer		The person is holding a briefcase.			
lawyer		They are negotiating a deal.			
lawyer		Money is involved in the conversation.			
lawyer		The atmosphere looks serious.			
lawyer		They are discussing important matters.			
lawyer		The briefcase likely contains documents.			
lawyer		This could be a business meeting.			
lawyer		The person looks confident.			
lawyer		They may be making a plea deal.			
lawyer		It is a private discussion.			
alarmed		The person looks surprised.			
alarmed		Their eyes are wide open.			
alarmed		They have a shocked expression.			
alarmed		The mouth is slightly open.			
alarmed		They seem to be in disbelief.			
alarmed		Their eyebrows are raised high.			
alarmed		The person is frozen in place.			
alarmed		They might be feeling scared.			
alarmed		This reaction shows strong emotions.			
alarmed		It looks like something unexpected happened.			
arresting		The officer is making an arrest.			
arresting		The suspect looks worried.			
arresting		The officer is wearing a uniform.			
arresting		The handcuffs are on the suspect's wrists.			
arresting		The scene is serious.			
arresting		There are bystanders watching.			
arresting		The officer is speaking to the suspect.			
arresting		The suspect is not resisting.			
arresting		The police car is nearby.			
arresting		This is a police operation.			
playing tennis		The person is playing tennis.			
playing tennis		They are serving the ball.			
playing tennis		The racket is in their hand.			
playing tennis		The ball is in the air.			
playing tennis		They are focused on the serve.			
playing tennis		The player is wearing a tennis outfit.			
playing tennis		The court is marked with lines.			
playing tennis		The sun is shining brightly.			
playing tennis		The player looks determined.			
playing tennis		Tennis is a fun sport to play.			
shrugging		I can’t believe it.			
shrugging		Really? Is that true?			
shrugging		That sounds strange.			
shrugging		I don’t think so.			
shrugging		It doesn’t make sense.			
shrugging		Why would that happen?			
shrugging		I’m not sure about that.			
shrugging		That’s hard to believe.			
shrugging		It’s just too weird.			
shrugging		I guess we’ll see.			
holding ball		The person is holding a ball.			
holding ball		The ball is round.			
holding ball		The person looks happy.			
holding ball		The ball is colorful.			
holding ball		The person is outside.			
holding ball		The sun is shining.			
holding ball		The grass is green.			
holding ball		The person is smiling.			
holding ball		The ball is bouncing.			
holding ball		The person plays with the ball.			
cooking		The person is holding a mixing bowl.			
cooking		They have a wooden spoon in their hand.			
cooking		The person is making brownies.			
cooking		They are wearing a chef's hat.			
cooking		The mixing bowl is big.			
cooking		The wooden spoon is brown.			
cooking		The person looks happy.			
cooking		They are mixing ingredients.			
cooking		Brownies are a sweet treat.			
cooking		The chef's hat is white.			
impressed		I am amazed by this person.			
impressed		They look so impressive.			
impressed		Their talent is incredible.			
impressed		I feel inspired by them.			
impressed		This moment is unforgettable.			
impressed		I admire their skills.			
impressed		They are truly exceptional.			
impressed		I can’t believe what I see.			
impressed		This is a remarkable experience.			
impressed		I am filled with wonder.			
inspired		I have an idea!			
inspired		I feel inspired.			
inspired		The solution is clear.			
inspired		I understand now.			
inspired		A light bulb went off.			
inspired		I can solve this puzzle.			
inspired		Inspiration strikes me.			
inspired		I see the answer.			
inspired		My mind is open.			
inspired		Creativity flows through me.			
breakfasting		The person is having breakfast.			
breakfasting		They are sitting at the table.			
breakfasting		There is a bowl of cereal.			
breakfasting		The cereal looks crunchy.			
breakfasting		The person is pouring milk.			
breakfasting		They are using a spoon.			
breakfasting		The breakfast looks healthy.			
breakfasting		There are fruits on the side.			
breakfasting		The person seems happy.			
breakfasting		Breakfast is an important meal.			
assertive		The person stands tall and confident.			
assertive		They are speaking clearly and loudly.			
assertive		Their posture is strong and open.			
assertive		The expression on their face shows determination.			
assertive		They are making eye contact with others.			
assertive		Their gestures are purposeful and direct.			
assertive		The atmosphere feels intense and focused.			
assertive		They are not afraid to share their opinions.			
assertive		Others are listening attentively to them.			
assertive		This person is a natural leader.			
saluting		The person is saluting.			
saluting		This is a sign of respect.			
saluting		Saluting shows discipline.			
saluting		The officer is in uniform.			
saluting		The salute is a formal greeting.			
saluting		The person is reporting for duty.			
saluting		Saluting is common in the military.			
saluting		The superior officer is important.			
saluting		The salute is done with the right hand.			
saluting		This action signifies obedience.			
stroking cat		The person is stroking a cat.			
stroking cat		The cat looks happy.			
stroking cat		The person has a gentle touch.			
stroking cat		The kitten is very cute.			
stroking cat		The person is holding the kitten carefully.			
stroking cat		The kitten is purring softly.			
stroking cat		The person smiles at the cat.			
stroking cat		The cat has soft fur.			
stroking cat		The person enjoys this moment.			
stroking cat		The kitten plays with the person’s hand.			
directing		This person is a director.			
directing		The director shouts Action!			
directing		The actors are ready to perform.			
directing		The camera is focused on the scene.			
directing		The set is decorated for the movie.			
directing		The crew is working hard.			
directing		The director gives instructions.			
directing		Everyone is excited to start.			
directing		The scene will be filmed now.			
directing		Filming a movie takes teamwork.			
imprisoned		The person looks sad and trapped.			
imprisoned		They are behind bars.			
imprisoned		Their expression shows despair.			
imprisoned		Freedom feels far away.			
imprisoned		The walls are closing in.			
imprisoned		They long for fresh air.			
imprisoned		Time seems to move slowly.			
imprisoned		Hope is fading away.			
imprisoned		They miss the outside world.			
imprisoned		This place feels like a prison.			
manipulating		The person has a sly smile.			
manipulating		They are whispering to someone.			
manipulating		Their eyes are watching everyone closely.			
manipulating		They seem to know a secret.			
manipulating		The atmosphere feels tense.			
manipulating		Others look confused or uncertain.			
manipulating		The person is holding a piece of paper.			
manipulating		They appear to be in control.			
manipulating		There is a sense of deception in the air.			
manipulating		Trust is being broken among the group.			
apathetic		The person looks tired and uninterested.			
apathetic		They seem to lack energy and motivation.			
apathetic		Their expression shows boredom and apathy.			
apathetic		It feels like they have lost their purpose.			
apathetic		They are sitting quietly without doing anything.			
apathetic		The person appears jaded by life.			
apathetic		Their eyes look distant and unfocused.			
apathetic		There is no excitement in their demeanor.			
apathetic		They may be feeling overwhelmed or uninspired.			
apathetic		The atmosphere around them feels heavy and dull.			
composing		This person is composing music.			
composing		They are playing the piano.			
composing		The room is quiet and focused.			
composing		Music notes are on the sheet.			
composing		The person looks very concentrated.			
composing		They are using a pen to write.			
composing		The piano has black and white keys.			
composing		There is a music stand in front of them.			
composing		The person may be inspired by their thoughts.			
